
Bei den �rztekammern registrierte ausl�ndische �rztinnen und �rzte (Anzahl). Gliederungsmerkmale: Jahre, Region, Staatsb�rgerschaft, T�tigkeitsbereich
****************************************************************************************************

Diese Tabelle bezieht sich auf:
Region:;Deutschland
T�tigkeitsbereich:;T�tigkeitsbereiche insgesamt
;"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";
"          Madagaskar";"3";"5";"5";"4";"2";"1";"2";"1";"1";"-";"-";"-";"-";"-";"1";"-";"1";"1";"1";"2";"2";"1";"1";"1";"1";"2";"1";"1";"-";"2";"2";"2";
"          Malawi";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";
"          Mali";"8";"9";"8";"6";"7";"6";"4";"4";"5";"6";"5";"7";"8";"9";"5";"3";"3";"3";"3";"3";"2";"3";"4";"4";"4";"2";"3";"3";"4";"4";"5";"3";
"          Marokko";"11";"10";"9";"8";"10";"11";"19";"18";"17";"18";"18";"19";"21";"25";"23";"25";"25";"26";"24";"30";"33";"38";"43";"56";"82";"117";"143";"182";"249";"355";"487";"653";
"          Mauretanien";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1";"4";"4";"3";"2";"1";"3";"3";"6";
"          Mauritius";"4";"7";"7";"7";"7";"7";"7";"7";"7";"7";"6";"6";"6";"5";"5";"5";"5";"4";"4";"5";"7";"13";"30";"36";"41";"55";"60";"70";"82";"81";"88";"94";
"          Mosambik";"-";"-";"-";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"2";"2";"2";"2";"2";"2";"2";"3";"3";"3";"3";"3";"3";
"          Namibia";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1";"2";"3";"1";"1";"3";
"          Niger";"2";"1";"-";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"-";"-";"-";"-";"1";"-";"-";"-";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";
"          Nigeria";"56";"48";"55";"56";"53";"54";"49";"48";"42";"40";"42";"44";"47";"45";"49";"46";"45";"44";"47";"48";"52";"54";"64";"66";"78";"89";"103";"118";"130";"158";"174";"182";
"          Ruanda";"-";"-";"-";"2";"2";"2";"1";"-";"1";"1";"1";"1";"1";"2";"-";"-";"-";"-";"-";"-";"1";"1";"1";"2";"2";"2";"4";"4";"4";"10";"3";"3";
"          Sambia";"1";"1";"-";"-";"-";"-";"-";"1";"3";"2";"2";"2";"2";"3";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"5";"3";"4";
"          S�o Tom� und Pr�ncipe";"-";"-";"-";"-";"-";"-";"-";"2";"-";"-";"29";"30";"29";"32";"32";"29";"16";"14";"14";"8";"4";"4";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";
"          Senegal";"-";"1";"-";"-";"-";"-";"1";"1";"2";"-";"1";"1";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1";"-";"-";"1";"1";"1";"2";"2";"2";
"          Seychellen";"-";"-";"-";"-";"1";"-";"-";"-";"-";"1";"1";"1";"1";"-";"-";"-";"-";"-";"1";"1";"1";"1";"2";"2";"2";"2";"2";"2";"2";"3";"2";"2";
"          Sierra Leone";"17";"17";"18";"20";"19";"23";"19";"20";"21";"22";"24";"22";"19";"19";"19";"23";"23";"23";"21";"22";"19";"23";"20";"20";"20";"18";"18";"18";"18";"18";"20";"20";
"          Simbabwe";"5";"6";"5";"6";"7";"5";"6";"6";"4";"2";"1";"3";"3";"3";"3";"3";"3";"3";"3";"2";"2";"2";"3";"3";"3";"6";"5";"7";"7";"8";"6";"7";
"          Somalia";"7";"8";"8";"8";"6";"6";"6";"5";"5";"5";"5";"5";"5";"5";"5";"5";"5";"4";"4";"2";"2";"2";"2";"2";"1";"2";"3";"5";"6";"4";"4";"8";
"          S�dafrika";"3";"5";"6";"5";"3";"5";"4";"4";"4";"5";"5";"5";"8";"9";"11";"13";"12";"12";"14";"15";"15";"17";"15";"16";"21";"26";"29";"29";"31";"34";"31";"35";
"          Sudan";"27";"33";"31";"29";"30";"33";"33";"38";"43";"46";"51";"59";"61";"63";"57";"58";"51";"54";"60";"59";"59";"62";"57";"62";"67";"75";"94";"94";"111";"141";"165";"189";
"          Swasiland";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-";"-";"1";"1";"1";"1";"1";
"          Togo";"8";"9";"8";"7";"6";"6";"6";"6";"6";"7";"7";"7";"9";"11";"9";"6";"9";"10";"9";"10";"8";"9";"10";"10";"10";"10";"9";"8";"10";"10";"12";"11";
"          Tschad";"2";"1";"1";"1";"2";"2";"1";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1";"1";"1";"1";"1";"1";"-";"-";
"          Tunesien";"12";"13";"13";"13";"13";"12";"11";"11";"12";"14";"15";"19";"19";"21";"22";"18";"19";"26";"27";"30";"38";"45";"70";"140";"204";"280";"360";"470";"574";"688";"817";"881";
"          Uganda";"12";"15";"12";"10";"11";"9";"12";"13";"9";"11";"12";"11";"10";"10";"10";"9";"8";"8";"8";"7";"9";"8";"8";"13";"12";"13";"13";"15";"16";"16";"17";"16";
"          Vereinigte Republik Tansania";"14";"15";"15";"16";"12";"11";"12";"10";"9";"8";"8";"12";"8";"9";"8";"8";"8";"8";"5";"5";"5";"5";"7";"8";"7";"7";"7";"7";"7";"9";"9";"12";
"          Zentralafrikanische Republik";"-";"2";"1";"1";"1";"1";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1";"1";"1";"1";"2";"3";"2";"1";"1";"1";
"          �briges Afrika";"3";"3";"9";"9";"5";"9";"6";"7";"6";"5";"4";"3";"2";"-";"1";"1";"1";"1";"1";"1";"-";"-";"-";"2";"2";"-";"1";"1";"1";"1";"1";"1";
"        Amerika";"560";"594";"617";"603";"593";"617";"620";"601";"608";"600";"584";"613";"643";"655";"655";"685";"710";"722";"771";"796";"853";"934";"1.032";"1.162";"1.287";"1.458";"1.651";"1.852";"2.080";"2.422";"2.633";"2.906";
"          Mittelamerika";"88";"96";"99";"91";"85";"100";"88";"84";"92";"93";"88";"90";"91";"98";"99";"101";"102";"104";"111";"109";"125";"140";"173";"203";"230";"286";"333";"400";"492";"647";"744";"860";
"            Dominikanische Republik";"5";"7";"5";"4";"4";"7";"3";"3";"3";"5";"4";"7";"6";"6";"6";"7";"6";"7";"5";"4";"7";"9";"11";"13";"16";"21";"23";"26";"31";"37";"37";"46";
"            Guatemala";"9";"7";"11";"10";"11";"11";"9";"9";"9";"8";"9";"10";"10";"9";"8";"8";"8";"8";"11";"12";"13";"16";"17";"15";"22";"24";"28";"35";"38";"45";"47";"50";
"            Haiti";"13";"11";"12";"13";"11";"11";"10";"8";"9";"9";"8";"9";"9";"10";"9";"7";"8";"7";"6";"6";"5";"5";"5";"6";"5";"6";"6";"8";"8";"9";"9";"7";
"            Honduras";"5";"6";"7";"8";"7";"6";"6";"5";"5";"6";"7";"7";"7";"8";"7";"6";"6";"4";"5";"4";"4";"4";"4";"4";"6";"9";"16";"25";"35";"66";"98";"121";
"            Kuba";"-";"3";"3";"2";"3";"5";"6";"10";"13";"12";"11";"10";"11";"16";"18";"21";"19";"19";"14";"13";"12";"12";"14";"15";"15";"18";"18";"16";"18";"23";"22";"21";
"            Mexiko";"31";"34";"33";"30";"26";"34";"29";"24";"28";"29";"26";"27";"25";"29";"32";"32";"31";"32";"40";"42";"55";"66";"86";"103";"118";"150";"176";"212";"267";"351";"407";"475";
"            Nicaragua";"11";"15";"15";"10";"12";"13";"13";"13";"13";"10";"10";"9";"9";"8";"8";"9";"9";"8";"10";"9";"10";"8";"10";"17";"17";"19";"18";"19";"20";"22";"21";"21";
"            Sonstiges  Mittelamerika";"14";"13";"13";"14";"11";"13";"12";"12";"12";"14";"13";"11";"14";"12";"11";"11";"15";"19";"20";"19";"19";"20";"26";"30";"31";"39";"48";"59";"75";"94";"103";"119";
"          Nordamerika";"223";"228";"239";"251";"252";"253";"250";"243";"244";"242";"219";"232";"233";"239";"235";"253";"280";"284";"288";"302";"314";"337";"365";"389";"390";"404";"432";"452";"470";"478";"504";"518";
"            Kanada";"20";"20";"20";"21";"21";"19";"22";"24";"22";"22";"23";"27";"26";"30";"26";"33";"34";"37";"36";"38";"45";"50";"63";"67";"67";"75";"81";"95";"96";"110";"113";"119";
"            Vereinigten Staaten";"203";"208";"219";"230";"230";"234";"228";"219";"222";"220";"196";"205";"207";"209";"209";"220";"246";"247";"252";"264";"269";"287";"302";"322";"323";"329";"351";"357";"374";"368";"391";"399";
"            Sonstiges  Nordamerika";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";
"          S�damerika";"249";"270";"279";"261";"256";"264";"282";"274";"272";"265";"277";"291";"319";"318";"321";"331";"328";"334";"372";"385";"414";"457";"494";"570";"667";"768";"886";"1.000";"1.118";"1.297";"1.385";"1.528";
"            Argentinien";"37";"36";"40";"36";"34";"37";"37";"33";"27";"28";"29";"31";"33";"34";"39";"36";"36";"38";"41";"42";"40";"48";"43";"42";"42";"47";"50";"55";"59";"68";"72";"70";
"            Bolivarische Republik Venezuela";"6";"9";"18";"8";"8";"10";"11";"12";"14";"15";"21";"19";"19";"21";"19";"21";"20";"26";"28";"29";"32";"32";"36";"39";"53";"78";"96";"109";"122";"155";"164";"185";
"            Brasilien";"49";"65";"61";"64";"62";"62";"75";"70";"66";"65";"68";"73";"84";"82";"82";"95";"94";"84";"101";"108";"113";"119";"119";"125";"133";"142";"150";"175";"195";"237";"245";"262";
"            Chile";"43";"42";"39";"37";"41";"39";"38";"39";"40";"41";"39";"41";"43";"39";"40";"38";"39";"43";"44";"44";"41";"48";"47";"55";"59";"56";"59";"61";"70";"71";"71";"73";
"            Ecuador";"14";"13";"12";"13";"14";"15";"15";"14";"15";"13";"15";"13";"17";"16";"17";"15";"16";"16";"18";"17";"18";"19";"23";"25";"30";"38";"45";"54";"65";"79";"87";"110";
"            Kolumbien";"26";"25";"29";"33";"29";"31";"34";"34";"37";"36";"38";"44";"43";"44";"44";"42";"38";"41";"48";"51";"64";"80";"102";"134";"171";"201";"245";"282";"316";"371";"412";"475";
"            Paraguay";"5";"6";"8";"7";"5";"4";"3";"5";"5";"3";"1";"2";"4";"3";"4";"6";"6";"6";"6";"11";"15";"17";"21";"26";"39";"56";"64";"72";"72";"75";"85";"93";
"            Peru";"29";"35";"31";"30";"28";"29";"28";"26";"28";"29";"29";"29";"35";"38";"38";"39";"42";"42";"46";"48";"50";"57";"65";"77";"91";"100";"122";"128";"147";"159";"165";"168";
"            Plurinationaler Staat Bolivien";"35";"32";"34";"26";"27";"30";"32";"33";"35";"31";"33";"35";"36";"37";"34";"36";"35";"36";"37";"33";"37";"35";"35";"42";"44";"46";"51";"59";"66";"72";"78";"86";
"            Uruguay";"-";"-";"1";"1";"2";"2";"4";"2";"1";"-";"-";"-";"2";"2";"2";"1";"1";"1";"2";"2";"3";"2";"2";"4";"4";"3";"3";"4";"5";"4";"5";"5";
"            Sonstiges  S�damerika";"5";"7";"6";"6";"6";"5";"5";"6";"4";"4";"4";"4";"3";"2";"2";"2";"1";"1";"1";"-";"1";"-";"1";"1";"1";"1";"1";"1";"1";"6";"1";"1";
"        Asien";"2.715";"2.926";"3.063";"3.152";"3.191";"3.349";"3.397";"3.440";"3.561";"3.576";"3.603";"3.715";"3.770";"3.808";"3.818";"3.937";"3.994";"4.163";"4.401";"4.641";"5.043";"5.886";"6.435";"7.292";"8.371";"9.972";"11.519";"12.753";"14.141";"15.525";"16.159";"17.151";
"          Afghanistan";"193";"208";"222";"225";"242";"278";"266";"259";"261";"245";"235";"257";"242";"230";"230";"218";"205";"204";"212";"209";"216";"216";"208";"202";"199";"199";"208";"222";"243";"261";"261";"267";
"          Arabische Republik Syrien";"349";"407";"426";"431";"429";"428";"407";"422";"420";"434";"455";"482";"496";"524";"565";"608";"665";"707";"775";"867";"997";"1.165";"1.337";"1.656";"2.149";"2.895";"3.632";"4.156";"4.732";"5.289";"5.404";"5.638";
"          Armenien";"-";"-";"-";"-";"1";"1";"2";"3";"3";"11";"11";"21";"26";"30";"25";"18";"26";"34";"39";"37";"45";"61";"84";"109";"145";"189";"224";"255";"279";"296";"306";"322";
"          Aserbaidschan";"-";"-";"-";"-";"2";"3";"4";"6";"10";"17";"20";"30";"41";"41";"46";"52";"54";"61";"69";"80";"104";"156";"237";"288";"378";"486";"603";"705";"877";"1.085";"1.185";"1.432";
"          Bahrain";"1";"1";"1";"1";"-";"-";"-";"-";"-";"-";"-";"1";"2";"5";"5";"4";"4";"4";"5";"3";"3";"2";"4";"6";"9";"8";"8";"12";"11";"12";"18";"25";
"          Bangladesch";"1";"3";"3";"1";"1";"2";"1";"1";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2";"3";"6";"5";"5";"5";"6";"8";"11";"12";"15";"18";"18";"20";
