
Bei den �rztekammern registrierte ausl�ndische �rztinnen und �rzte (Anzahl). Gliederungsmerkmale: Jahre, Region, Staatsb�rgerschaft, T�tigkeitsbereich
****************************************************************************************************

Diese Tabelle bezieht sich auf:
Region:;Deutschland
T�tigkeitsbereich:;T�tigkeitsbereiche insgesamt
;"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";
"          Saudi-Arabien";"85";"119";"123";"114";"79";"62";"48";"28";"32";"28";"23";"23";"24";"26";"21";"31";"40";"36";"42";"76";"112";"192";"273";"349";"380";"414";"442";"462";"438";"440";"424";"418";
"          Singapur";"-";"1";"-";"-";"-";"3";"2";"3";"3";"3";"3";"4";"2";"2";"1";"-";"-";"1";"-";"1";"3";"1";"3";"3";"2";"3";"4";"7";"8";"10";"11";"15";
"          Sri-Lanka (Ceylon)";"6";"6";"6";"6";"9";"10";"8";"7";"11";"11";"11";"12";"13";"14";"14";"13";"15";"14";"15";"15";"14";"17";"18";"19";"24";"26";"30";"31";"33";"29";"29";"29";
"          Tadschikistan";"-";"-";"-";"-";"-";"-";"-";"2";"2";"1";"1";"2";"6";"6";"6";"4";"4";"7";"5";"8";"11";"12";"13";"13";"15";"20";"19";"27";"35";"45";"52";"67";
"          Taiwan";"2";"1";"5";"5";"2";"2";"3";"1";"2";"1";"3";"4";"4";"5";"10";"11";"10";"8";"11";"11";"12";"12";"14";"16";"19";"20";"21";"23";"29";"32";"33";"37";
"          Thailand";"19";"20";"23";"14";"13";"15";"18";"16";"20";"17";"17";"20";"20";"21";"16";"18";"14";"13";"15";"16";"20";"21";"20";"21";"24";"23";"21";"22";"25";"31";"27";"34";
"          Turkmenistan";"-";"-";"-";"-";"-";"-";"1";"2";"4";"5";"9";"10";"8";"10";"10";"12";"11";"13";"16";"15";"14";"14";"15";"17";"15";"14";"16";"17";"18";"21";"22";"28";
"          Usbekistan";"-";"-";"-";"2";"1";"2";"2";"6";"8";"7";"24";"29";"40";"59";"63";"63";"71";"78";"80";"83";"99";"102";"108";"120";"124";"134";"138";"143";"155";"172";"177";"180";
"          Vereinigte Arabische Emirate";"5";"7";"8";"9";"12";"13";"10";"12";"13";"12";"16";"16";"16";"15";"22";"30";"37";"40";"44";"51";"45";"55";"55";"56";"57";"48";"45";"43";"36";"35";"32";"24";
"          Vereinigte Arabische Republik";"-";"-";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";
"          Vietnam";"71";"69";"73";"79";"91";"86";"87";"78";"82";"79";"79";"75";"77";"74";"74";"75";"69";"71";"67";"69";"63";"74";"64";"65";"65";"69";"70";"73";"75";"96";"95";"128";
"          �briges Asien";"1";"4";"4";"1";"6";"7";"5";"4";"6";"8";"2";"5";"5";"1";"1";"1";"1";"2";"2";"4";"9";"13";"14";"14";"17";"22";"18";"22";"23";"31";"27";"29";
"        Australien und Ozeanien";"5";"10";"9";"11";"10";"13";"15";"12";"11";"13";"15";"14";"12";"17";"15";"15";"17";"17";"18";"19";"23";"27";"31";"33";"34";"35";"41";"36";"42";"42";"48";"50";
"          Australien";"5";"10";"9";"11";"10";"13";"15";"12";"10";"13";"13";"12";"10";"14";"12";"13";"15";"15";"16";"16";"19";"20";"23";"24";"25";"27";"32";"28";"32";"35";"36";"39";
"          Fidschi";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1";"1";"1";"1";"1";"1";"1";"1";"-";"-";"-";"1";"1";"1";"1";
"          Neuseeland";"-";"-";"-";"-";"-";"-";"-";"-";"1";"-";"1";"1";"1";"2";"2";"1";"1";"-";"-";"1";"2";"4";"5";"6";"6";"6";"7";"6";"6";"5";"6";"6";
"          �briges Ozeanien";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"2";"2";"2";"2";"2";"2";"2";"3";"1";"5";"4";
"        Europa";"6.600";"7.011";"7.416";"7.688";"8.055";"8.511";"8.711";"8.783";"9.076";"9.416";"9.859";"10.711";"11.811";"12.414";"13.025";"13.795";"14.626";"15.724";"16.993";"18.472";"20.855";"23.870";"26.315";"28.676";"30.097";"32.057";"33.956";"35.708";"37.398";"39.058";"38.861";"40.925";
"          Europ�ische Union";"2.826";"2.874";"2.950";"2.983";"3.592";"3.763";"3.852";"3.780";"3.905";"4.019";"4.187";"4.436";"4.750";"7.072";"7.554";"8.156";"10.069";"10.984";"12.088";"13.526";"15.674";"18.254";"20.388";"22.080";"22.802";"23.857";"24.765";"25.585";"26.282";"26.931";"26.095";"26.854";
"            Belgien";"265";"263";"253";"262";"253";"244";"257";"246";"253";"242";"241";"239";"235";"224";"222";"228";"231";"239";"246";"255";"274";"299";"297";"297";"306";"321";"332";"343";"356";"389";"-";"423";
"            Bulgarien (ab 2007)";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"462";"541";"652";"770";"927";"1.111";"1.277";"1.427";"1.554";"1.634";"1.715";"1.774";"1.834";"1.883";"1.947";"1.975";
"            D�nemark";"64";"67";"70";"67";"68";"69";"71";"70";"66";"66";"66";"65";"66";"63";"59";"62";"61";"59";"58";"58";"63";"63";"65";"67";"65";"61";"61";"62";"65";"71";"-";"70";
"            Estland (ab 2004)";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"25";"26";"27";"27";"30";"30";"31";"33";"45";"47";"50";"55";"58";"60";"60";"60";"59";"61";"63";
"            Finnland (ab 1995)";"X";"X";"X";"X";"79";"90";"94";"84";"97";"99";"103";"106";"113";"111";"109";"112";"106";"110";"108";"108";"107";"106";"108";"111";"108";"112";"115";"117";"115";"110";"114";"116";
"            Frankreich";"330";"330";"336";"338";"335";"328";"322";"330";"333";"338";"352";"362";"360";"366";"382";"383";"398";"407";"416";"425";"433";"446";"470";"483";"483";"510";"543";"574";"599";"629";"673";"706";
"            Griechenland";"752";"773";"783";"800";"816";"864";"890";"882";"908";"954";"1.014";"1.083";"1.162";"1.265";"1.357";"1.453";"1.554";"1.708";"1.863";"2.016";"2.224";"2.556";"2.847";"3.011";"3.017";"3.119";"3.147";"3.169";"3.216";"3.123";"2.973";"2.972";
"            Irland";"21";"21";"23";"24";"24";"27";"31";"28";"30";"31";"31";"32";"30";"30";"32";"32";"32";"33";"36";"37";"40";"44";"44";"47";"50";"52";"50";"50";"52";"54";"55";"60";
"            Italien";"380";"389";"407";"415";"447";"473";"493";"498";"501";"525";"538";"555";"583";"614";"660";"694";"719";"755";"805";"864";"964";"1.050";"1.134";"1.214";"1.217";"1.312";"1.415";"1.511";"1.618";"1.718";"1.812";"1.883";
"            Kroatien (ab 2013)";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"243";"312";"365";"416";"459";"499";"531";"633";"580";"594";
"            Lettland (ab 2004)";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"40";"40";"37";"43";"41";"52";"74";"109";"149";"185";"220";"252";"282";"307";"336";"353";"374";"375";"378";
"            Litauen (ab 2004)";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"49";"48";"51";"61";"69";"75";"114";"170";"231";"266";"301";"341";"382";"418";"468";"504";"548";"578";"585";
"            Luxemburg";"127";"126";"130";"128";"131";"123";"121";"121";"112";"115";"116";"121";"133";"135";"129";"137";"147";"159";"170";"204";"223";"240";"255";"277";"286";"311";"331";"360";"380";"404";"420";"451";
"            Malta (ab 2004)";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"4";"4";"4";"5";"5";"6";"6";"7";"7";"7";"7";"7";"7";"7";"7";"8";"8";"7";"9";
"            Niederlande";"507";"510";"521";"523";"521";"527";"520";"513";"503";"498";"483";"488";"487";"497";"500";"500";"525";"552";"579";"616";"658";"717";"729";"770";"776";"796";"823";"855";"879";"882";"909";"915";
"            �sterreich (ab 1995)";"X";"X";"X";"X";"395";"460";"487";"474";"553";"592";"678";"792";"958";"1.130";"1.269";"1.438";"1.613";"1.802";"2.018";"2.173";"2.363";"2.491";"2.611";"2.695";"2.573";"2.600";"2.642";"2.687";"2.736";"2.786";"2.901";"2.943";
"            Polen (ab 2004)";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"1.086";"1.171";"1.283";"1.332";"1.428";"1.499";"1.551";"1.636";"1.759";"1.830";"1.936";"1.987";"2.038";"2.084";"2.139";"2.163";"2.179";"2.106";"2.127";
"            Portugal";"23";"28";"30";"33";"34";"36";"36";"40";"45";"46";"47";"49";"52";"62";"68";"73";"74";"77";"87";"99";"99";"111";"130";"151";"180";"199";"226";"247";"271";"302";"326";"350";
"            Rum�nien (ab 2007)";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"824";"927";"1.112";"1.495";"2.105";"2.910";"3.454";"3.857";"4.062";"4.285";"4.505";"4.666";"4.785";"4.916";"4.721";"4.695";
"            Schweden (ab 1995)";"X";"X";"X";"X";"81";"90";"102";"110";"116";"88";"90";"93";"92";"91";"91";"91";"99";"100";"99";"97";"96";"100";"105";"104";"109";"110";"117";"114";"116";"126";"129";"130";
"            Slowakei (ab 2004)";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"255";"297";"375";"454";"503";"574";"632";"759";"922";"1.029";"1.126";"1.185";"1.215";"1.231";"1.243";"1.236";"1.224";"1.196";"1.191";
"            Slowenien (ab 2004)";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"18";"22";"24";"28";"31";"29";"33";"35";"43";"48";"59";"63";"72";"76";"79";"84";"90";"91";"90";
"            Spanien";"207";"215";"244";"237";"245";"263";"261";"238";"236";"259";"259";"277";"295";"320";"326";"338";"356";"369";"364";"383";"399";"457";"486";"557";"596";"643";"661";"693";"717";"754";"772";"819";
"            Tschechische Republik (ab 2004)";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"211";"239";"263";"304";"346";"392";"471";"659";"762";"862";"942";"1.014";"1.063";"1.111";"1.142";"1.171";"1.204";"1.209";"1.186";
"            Ungarn (ab 2004)";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"252";"271";"305";"359";"430";"529";"688";"927";"1.228";"1.423";"1.597";"1.666";"1.731";"1.765";"1.817";"1.834";"1.827";"1.782";"1.734";
"            Vereinigtes K�nigreich";"150";"152";"153";"156";"163";"169";"167";"146";"152";"166";"169";"174";"184";"181";"190";"200";"203";"205";"212";"221";"237";"250";"256";"263";"269";"282";"300";"300";"303";"302";"X";"X";
"            Zypern (ab 2004)";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"43";"42";"46";"52";"58";"77";"105";"127";"157";"180";"199";"216";"246";"264";"273";"296";"336";"358";"389";
"          �briges Europa";"3.774";"4.137";"4.466";"4.705";"4.463";"4.748";"4.859";"5.003";"5.171";"5.397";"5.672";"6.275";"7.061";"5.342";"5.471";"5.639";"4.557";"4.740";"4.905";"4.946";"5.181";"5.616";"5.927";"6.596";"7.295";"8.200";"9.191";"10.123";"11.116";"12.127";"12.766";"14.071";
"            Albanien";"2";"4";"5";"5";"6";"10";"10";"15";"15";"19";"20";"28";"36";"33";"32";"32";"38";"39";"44";"40";"48";"101";"149";"229";"315";"415";"521";"630";"765";"901";"988";"1.081";
"            Andorra";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1";"1";"-";"-";"-";"-";"-";"-";"1";"1";"1";"1";"1";"1";
"            Bosnien und Herzegowina";"-";"-";"-";"-";"3";"3";"5";"12";"20";"23";"39";"58";"61";"86";"90";"89";"100";"107";"113";"137";"174";"194";"232";"279";"317";"387";"452";"533";"580";"620";"647";"690";
"            Bulgarien (bis 2006)";"190";"211";"221";"215";"235";"233";"245";"224";"226";"231";"226";"246";"308";"349";"365";"393";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"-";
"            Estland (bis 2003)";"-";"-";"-";"1";"3";"8";"12";"13";"15";"21";"19";"21";"23";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"-";
"            Finnland (bis 1994)";"68";"67";"73";"84";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"-";
"            Island";"2";"1";"2";"2";"2";"2";"2";"16";"2";"2";"1";"1";"1";"1";"1";"2";"2";"4";"4";"4";"4";"6";"6";"7";"8";"8";"8";"8";"10";"9";"10";"9";
"            Kosovo";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"11";"29";"51";"70";"114";"158";"191";"232";"268";"292";"331";"376";"395";"429";
"            Kroatien (bis 2012)";"-";"-";"-";"7";"15";"20";"19";"19";"36";"41";"59";"74";"95";"114";"123";"130";"135";"153";"163";"172";"187";"211";"X";"X";"X";"X";"X";"X";"X";"X";"X";"-";
"            Lettland (bis 2003)";"1";"2";"5";"8";"7";"10";"8";"36";"19";"24";"26";"36";"37";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"-";
"            Liechtenstein";"1";"-";"-";"-";"-";"-";"-";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1";"1";"2";"1";"2";"2";"2";"2";"2";"2";"2";"3";"3";"3";
"            Litauen (bis 2003)";"1";"2";"5";"7";"8";"11";"17";"14";"16";"20";"22";"27";"37";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"-";
"            Malta (bis 2003)";"8";"7";"6";"4";"3";"4";"3";"3";"3";"3";"4";"4";"4";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"-";
"            Mazedonien";"-";"-";"-";"1";"1";"1";"1";"3";"5";"5";"6";"13";"18";"28";"30";"31";"37";"41";"48";"77";"120";"158";"218";"291";"322";"370";"428";"470";"517";"561";"583";"617";
"            Moldau (Moldawien)";"-";"-";"-";"1";"-";"4";"9";"11";"16";"24";"36";"42";"65";"66";"66";"64";"64";"60";"68";"73";"84";"87";"94";"104";"115";"123";"137";"149";"157";"157";"149";"154";
"            Montenegro";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1";"4";"6";"10";"9";"11";"24";"36";"40";"42";"43";"44";"48";
"            Norwegen";"53";"51";"58";"56";"62";"63";"65";"60";"67";"72";"69";"70";"72";"78";"74";"76";"73";"85";"91";"87";"90";"89";"93";"94";"87";"94";"103";"106";"109";"121";"130";"129";
"            �sterreich (bis 1994)";"306";"344";"359";"365";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"-";
"            Polen (bis 2003)";"576";"581";"607";"637";"647";"683";"664";"675";"675";"683";"685";"734";"919";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"-";
"            Rum�nien (bis 2006)";"379";"422";"450";"456";"498";"526";"514";"524";"531";"540";"543";"585";"635";"660";"692";"718";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"-";
"            Russland/ehemalige Sowjetunion";"265";"464";"659";"728";"916";"1.058";"1.174";"1.191";"1.320";"1.415";"1.484";"1.598";"1.696";"1.591";"1.572";"1.616";"1.624";"1.685";"1.746";"1.711";"1.735";"1.814";"1.897";"1.996";"2.149";"2.257";"2.395";"2.535";"2.685";"2.781";"2.784";"2.902";
"            San Marino";"-";"-";"-";"-";"-";"16";"16";"32";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";
"            Schweden (bis 1994)";"71";"69";"67";"73";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"-";
"            Schweiz";"82";"94";"90";"92";"94";"97";"94";"80";"108";"118";"123";"142";"147";"153";"163";"180";"181";"186";"200";"206";"230";"236";"248";"263";"252";"256";"275";"295";"289";"313";"322";"331";
"            Serbien/ehemaliges Jugoslawien";"481";"494";"498";"514";"530";"525";"514";"483";"515";"519";"520";"517";"512";"372";"367";"378";"366";"378";"371";"356";"390";"491";"611";"769";"968";"1.192";"1.421";"1.566";"1.732";"1.931";"2.040";"2.101";
"            Slowakei (bis 2003)";"-";"-";"-";"3";"2";"24";"18";"46";"26";"30";"47";"81";"155";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"-";
"            Slowenien (bis 2003)";"-";"-";"-";"2";"4";"6";"6";"5";"7";"8";"7";"8";"11";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"-";
"            Tschechische Republik (bis 2003)";"-";"-";"-";"163";"87";"93";"89";"90";"86";"94";"94";"123";"175";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"-";
"            Tschechoslowakei (ehemalige)";"348";"366";"367";"187";"266";"224";"226";"201";"220";"214";"203";"204";"207";"153";"138";"138";"133";"130";"136";"114";"105";"104";"106";"100";"81";"79";"77";"75";"76";"77";"63";"61";
"            T�rkei";"683";"693";"726";"733";"729";"739";"737";"710";"733";"726";"773";"829";"865";"878";"905";"919";"884";"905";"925";"903";"900";"922";"924";"954";"995";"1.052";"1.148";"1.273";"1.434";"1.607";"1.802";"2.160";
"            Ukraine";"-";"-";"-";"26";"38";"84";"129";"155";"218";"267";"346";"490";"605";"668";"730";"740";"777";"817";"823";"856";"872";"922";"1.002";"1.091";"1.176";"1.336";"1.485";"1.637";"1.798";"1.929";"2.014";"2.164";
"            Ungarn (bis 2003)";"199";"208";"208";"215";"224";"225";"210";"231";"217";"216";"220";"237";"248";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"-";
"            Vatikanstadt";"1";"1";"1";"1";"1";"1";"1";"18";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"-";"-";"-";"-";"-";
"            Vereinigtes K�nigreich";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"-";"272";
"            Wei�russland (Belarus)";"-";"-";"-";"56";"21";"21";"20";"24";"26";"32";"50";"59";"86";"110";"121";"129";"140";"144";"156";"174";"182";"201";"218";"247";"303";"369";"430";"509";"585";"694";"789";"917";
"            Zypern (bis 2003)";"57";"54";"58";"62";"57";"53";"49";"108";"48";"47";"48";"45";"42";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"X";"-";
"            Sonstiges Europa";"-";"2";"1";"1";"4";"4";"2";"1";"-";"2";"1";"2";"-";"1";"1";"3";"2";"5";"3";"3";"2";"2";"2";"2";"2";"3";"3";"2";"3";"3";"2";"2";
"        Ohne Angabe";"47";"91";"37";"30";"4";"112";"43";"38";"35";"29";"102";"101";"102";"93";"44";"21";"20";"18";"26";"26";"24";"35";"32";"30";"27";"22";"22";"19";"20";"18";"14";"26";
"        Staatenlos";"120";"123";"133";"149";"149";"159";"154";"136";"121";"137";"142";"141";"127";"115";"106";"106";"105";"113";"113";"118";"119";"138";"153";"137";"136";"122";"123";"110";"106";"105";"94";"92";
"        Ungekl�rt";"76";"79";"90";"93";"95";"106";"106";"102";"101";"137";"80";"76";"67";"69";"106";"122";"112";"111";"119";"80";"69";"72";"72";"72";"68";"69";"66";"73";"103";"598";"60";"110";

****************************************************************************************************
Fu�noten
****************************************************************************************************

1.;Angaben zum Stichtag 31.12. des jeweiligen Jahres.

****************************************************************************************************
Die Tabelle wurde am 15.08.2023 19:02 Uhr unter www.gbe-bund.de erstellt.
****************************************************************************************************

Quelle(n):
�ST, Bundes�rztekammer (Arbeitsgemeinschaft der deutschen �rztekammern)
