,America Aggregated Data,1991,1992,1993,1994,1995,199,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,North America,223.0,228.0,239.0,251.0,252.0,253.0,250.0,243.0,244.0,242.0,219.0,232.0,233.0,239.0,235.0,253.0,280.0,284.0,288.0,302.0,314.0,337.0,365.0,389.0,390.0,404.0,432.0,452.0,470.0,478.0,504.0,518.0
2,Other North America,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Central America,88.0,96.0,99.0,91.0,85.0,100.0,88.0,84.0,92.0,93.0,88.0,90.0,91.0,98.0,99.0,101.0,102.0,104.0,111.0,109.0,125.0,140.0,173.0,203.0,230.0,286.0,333.0,400.0,492.0,647.0,744.0,860.0
4,Other Central America,14.0,13.0,13.0,14.0,11.0,13.0,12.0,12.0,12.0,14.0,13.0,11.0,14.0,12.0,11.0,11.0,15.0,19.0,20.0,19.0,19.0,20.0,26.0,30.0,31.0,39.0,48.0,59.0,75.0,94.0,103.0,119.0
5,South America,249.0,270.0,279.0,261.0,256.0,264.0,282.0,274.0,272.0,265.0,277.0,291.0,319.0,318.0,321.0,331.0,328.0,334.0,372.0,385.0,414.0,457.0,494.0,570.0,667.0,768.0,886.0,1.0,1.118,1.297,1.385,1.528
6,Other South America,5.0,7.0,6.0,6.0,6.0,5.0,5.0,6.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0
