,Australia and Oceania,1991,1992,1993,1994,1995,199,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,Australia,5.0,10.0,9.0,11.0,10.0,13.0,15.0,12.0,10.0,13.0,13.0,12.0,10.0,14.0,12.0,13.0,15.0,15.0,16.0,16.0,19.0,20.0,23.0,24.0,25.0,27.0,32.0,28.0,32.0,35.0,36.0,39.0
2,Fiji,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
3,New Zealand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,2.0,4.0,5.0,6.0,6.0,6.0,7.0,6.0,6.0,5.0,6.0,6.0
4,Rest of Oceania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,5.0,4.0
